ice_thickness_fraction,planet_radius_Earth_units,max_pressure_GPa
0.1,0.6,1.6385976731470586
0.1,0.61375,1.7642680006428968
0.1,0.6275000000000001,1.8873138111645278
0.1,0.6412500000000001,2.015010155307818
0.1,0.6550000000000001,2.1553314539194655
0.1,0.6687500000000002,2.317667735033288
0.1,0.6825000000000002,2.477712726885573
0.1,0.6962500000000003,2.654364498534243
0.1,0.7100000000000003,2.829788683368174
0.1,0.7237500000000003,3.014125058281684
0.1,0.7375000000000004,3.2013135914756723
0.1,0.7512500000000004,3.3983436724083735
0.1,0.7650000000000005,3.605029519268536
0.1,0.7787500000000005,3.802936141032643
0.1,0.7925000000000005,4.030132989634873
0.1,0.8062500000000006,4.243787735099483
0.1,0.8200000000000006,4.4790320495095255
0.1,0.8337500000000007,4.71716759255464
0.1,0.8475000000000007,4.956561199171869
0.1,0.8612500000000007,5.209015204289276
0.1,0.8750000000000008,5.459357091576296
0.1,0.8887500000000008,5.7433683967561615
0.1,0.9025000000000009,6.020487452290043
0.1,0.9162500000000009,6.298485584024728
0.1,0.9300000000000009,6.585892928931896
0.1,0.943750000000001,6.896722328578474
0.1,0.957500000000001,7.206437672085837
0.1,0.9712500000000011,7.525451256378649
0.1,0.9850000000000011,7.878669949651648
0.1,0.9987500000000011,8.201609258591654
0.1,1.012500000000001,8.553538316058683
0.1,1.0262500000000012,8.924291403369399
0.1,1.0400000000000014,9.272791220984118
0.1,1.0537500000000013,9.666786808864124
0.1,1.0675000000000012,10.043436714697721
0.1,1.0812500000000014,10.46380294169369
0.1,1.0950000000000015,10.86552733798872
0.11,0.6,1.810029036299239
0.11,0.61375,1.9459360667306629
0.11,0.6275000000000001,2.086806582617663
0.11,0.6412500000000001,2.242579626297849
0.11,0.6550000000000001,2.412404720293634
0.11,0.6687500000000002,2.5893060134856642
0.11,0.6825000000000002,2.7638803519304758
0.11,0.6962500000000003,2.9615145362856854
0.11,0.7100000000000003,3.147411037925021
0.11,0.7237500000000003,3.350689684603567
0.11,0.7375000000000004,3.5548789787790955
0.11,0.7512500000000004,3.7745585036583953
0.11,0.7650000000000005,4.0004775413255205
0.11,0.7787500000000005,4.233736280359859
0.11,0.7925000000000005,4.460064158940534
0.11,0.8062500000000006,4.714548816569638
0.11,0.8200000000000006,4.96021412172433
0.11,0.8337500000000007,5.210934177601269
0.11,0.8475000000000007,5.502216688827508
0.11,0.8612500000000007,5.777038800622501
0.11,0.8750000000000008,6.060517590626944
0.11,0.8887500000000008,6.347391241590328
0.11,0.9025000000000009,6.655008483449689
0.11,0.9162500000000009,6.9717041403485345
0.11,0.9300000000000009,7.29101752487584
0.11,0.943750000000001,7.636065044780687
0.11,0.957500000000001,7.980309109809576
0.11,0.9712500000000011,8.316590780679718
0.11,0.9850000000000011,8.679157722298594
0.11,0.9987500000000011,9.055756756894718
0.11,1.012500000000001,9.454054321598326
0.11,1.0262500000000012,9.837718905371462
0.11,1.0400000000000014,10.250334498216194
0.11,1.0537500000000013,10.654839966318828
0.11,1.0675000000000012,11.098504171165255
0.11,1.0812500000000014,11.563396160461755
0.11,1.0950000000000015,12.008437941318675
0.12,0.6,1.9820000394068438
0.12,0.61375,2.13279088875534
0.12,0.6275000000000001,2.300517872010892
0.12,0.6412500000000001,2.479490838117878
0.12,0.6550000000000001,2.662597486557581
0.12,0.6687500000000002,2.8535019864061395
0.12,0.6825000000000002,3.048102308103237
0.12,0.6962500000000003,3.256118501580928
0.12,0.7100000000000003,3.4631970863466965
0.12,0.7237500000000003,3.677058545576914
0.12,0.7375000000000004,3.9008916638844737
0.12,0.7512500000000004,4.137576611051357
0.12,0.7650000000000005,4.3811609139503185
0.12,0.7787500000000005,4.634118388238981
0.12,0.7925000000000005,4.889125349028146
0.12,0.8062500000000006,5.160663582844377
0.12,0.8200000000000006,5.429435863618495
0.12,0.8337500000000007,5.717666995854421
0.12,0.8475000000000007,6.018054379246554
0.12,0.8612500000000007,6.318597514378251
0.12,0.8750000000000008,6.62721002772476
0.12,0.8887500000000008,6.940613346942373
0.12,0.9025000000000009,7.291871380491271
0.12,0.9162500000000009,7.6163819566447595
0.12,0.9300000000000009,7.979944705562775
0.12,0.943750000000001,8.334567328512628
0.12,0.957500000000001,8.714867927907923
0.12,0.9712500000000011,9.087158149073257
0.12,0.9850000000000011,9.487494670199238
0.12,0.9987500000000011,9.87370720247696
0.12,1.012500000000001,10.307701265143155
0.12,1.0262500000000012,10.745101912010956
0.12,1.0400000000000014,11.169147519615715
0.12,1.0537500000000013,11.639852080997485
0.12,1.0675000000000012,12.119691491419893
0.12,1.0812500000000014,12.596173567018218
0.12,1.0950000000000015,13.118350010220684
0.13,0.6,2.146122165218214
0.13,0.61375,2.3288594426066966
0.13,0.6275000000000001,2.514389028075874
0.13,0.6412500000000001,2.7024736102901916
0.13,0.6550000000000001,2.905986927246703
0.13,0.6687500000000002,3.109785013291707
0.13,0.6825000000000002,3.320143340603673
0.13,0.6962500000000003,3.542415717085583
0.13,0.7100000000000003,3.765531749042751
0.13,0.7237500000000003,4.001354486935988
0.13,0.7375000000000004,4.255312857184687
0.13,0.7512500000000004,4.509233496470719
0.13,0.7650000000000005,4.759943490778331
0.13,0.7787500000000005,5.030948415580238
0.13,0.7925000000000005,5.319927333566737
0.13,0.8062500000000006,5.592608452863124
0.13,0.8200000000000006,5.902880240398074
0.13,0.8337500000000007,6.202575360567013
0.13,0.8475000000000007,6.516281983141951
0.13,0.8612500000000007,6.863755725245135
0.13,0.8750000000000008,7.198035769663112
0.13,0.8887500000000008,7.549358965751416
0.13,0.9025000000000009,7.898078305918179
0.13,0.9162500000000009,8.269470005231602
0.13,0.9300000000000009,8.647670393406319
0.13,0.943750000000001,9.027704967585157
0.13,0.957500000000001,9.43432752587795
0.13,0.9712500000000011,9.822245762260865
0.13,0.9850000000000011,10.248257562435999
0.13,0.9987500000000011,10.7053523360503
0.13,1.012500000000001,11.15991631770145
0.13,1.0262500000000012,11.611181444257642
0.13,1.0400000000000014,12.0984648294419
