rand_earth (Earth Radii),rand_ice,rand_iron,rand_sio2,planet_mass (kg),max_p (Pa),diamond_formation
1.0403706761119504,0.6755940033175737,0.16220299834121316,0.16220299834121316,2.3031607418882843e+24,27377881182.531414,yes
0.7674746373859722,0.6975355178248624,0.15123224108756878,0.15123224108756878,7.66730503264636e+23,10614288019.823135,yes
1.4650697769249135,0.6863710742918872,0.15681446285405642,0.15681446285405642,7.838551511625541e+24,82112884550.48842,yes
1.0723849567788983,0.19888443004894826,0.40055778497552585,0.40055778497552585,5.045987815183287e+24,19528202253.637764,yes
0.7805783910313483,0.49554742489910597,0.252226287550447,0.252226287550447,9.97194806575652e+23,11856793571.930714,yes
0.6853237130383079,0.7792205618207703,0.11038971908961487,0.11038971908961487,4.894823257201052e+23,7172107937.0093,no
1.4813125317001157,0.4836487444770855,0.25817562776145725,0.25817562776145725,9.916077144074484e+24,88110943293.6681,yes
1.304402166691237,0.51214365503131,0.243928172484345,0.243928172484345,5.995745594503393e+24,57494905753.137436,yes
0.8091201160542454,0.7618759736811078,0.11906201315944609,0.11906201315944609,8.980795303532993e+23,12052615183.337162,yes
0.5865607636557061,0.5349696105997767,0.23251519470011167,0.23251519470011167,3.390082022784973e+23,4878316362.914248,no
1.3417884665188118,0.27451970421353367,0.36274014789323317,0.36274014789323317,9.682382497627678e+24,50197769249.6742,yes
0.5969965177243732,0.7970401713939868,0.10147991430300662,0.10147991430300662,2.921239315055039e+23,4582655736.287975,no
0.7599425053031634,0.30939526809507917,0.34530236595246044,0.34530236595246044,1.234426600962166e+24,9504287340.448298,no
1.0407031460515237,0.8415251499202212,0.0792374250398894,0.0792374250398894,2.1553824092773912e+24,25261217029.68834,yes
0.9142644339214531,0.4671620896026133,0.26641895519869335,0.26641895519869335,1.817881412523614e+24,19151245183.271717,yes
0.8810420839261479,0.4254329759598082,0.2872835120200959,0.2872835120200959,1.700017393091473e+24,16831666384.51323,yes
1.349968201104693,0.7074086568163439,0.14629567159182805,0.14629567159182805,5.749470365715926e+24,61861157177.262535,yes
0.8846955055307117,0.5331311094428725,0.23343444527856377,0.23343444527856377,1.4814698165672052e+24,17396444056.78027,yes
0.8105460172391664,0.1015289357493474,0.4492355321253263,0.4492355321253263,2.3049607099819546e+24,4423210719.159148,no
0.812308598034757,0.7973823339129614,0.10130883304351929,0.10130883304351929,8.998030544625572e+23,11977728667.835062,yes
1.2553749106753598,0.8948241043160876,0.052587947841956195,0.052587947841956195,4.2000874031147493e+24,45321539778.58274,yes
0.7892545135364599,0.8954830369632777,0.052258481518361155,0.052258481518361155,7.980562991734402e+23,10551499968.69806,yes
1.248333820165664,0.13955796702445228,0.4302210164877739,0.4302210164877739,9.773837984090042e+24,23000174363.326424,yes
0.9516098745928937,0.3639099938246706,0.3180450030876647,0.3180450030876647,2.4614523769219873e+24,20136845199.469772,yes
1.4486712090960205,0.7891965017352361,0.10540174913238193,0.10540174913238193,7.211337250929322e+24,76253920903.79742,yes
1.1036919816546533,0.1466641695574322,0.4266679152212839,0.4266679152212839,6.191436806586333e+24,16324590023.9567,yes
1.0608270142183813,0.1667278265169685,0.41663608674151575,0.41663608674151575,5.174034704546491e+24,16266620514.00755,yes
0.5618208000484253,0.7855870929319341,0.10720645353403296,0.10720645353403296,2.331142231916288e+23,3751250024.4722033,no
1.129795120980881,0.7275335572743435,0.13623322136282823,0.13623322136282823,2.9971163127790794e+24,34491409663.42723,yes
1.114011810164829,0.7363563657432265,0.13182181712838675,0.13182181712838675,2.8371521958547547e+24,32803817826.070732,yes
0.5301237807008851,0.10363681943588939,0.4481815902820553,0.4481815902820553,5.289602031974623e+23,1156598418.7045937,no
1.0832045279425406,0.5426984647633839,0.22865076761830805,0.22865076761830805,2.991752798136588e+24,32104864493.63859,yes
