rand_earth (Earth Radii),rand_ice,rand_iron,rand_sio2,planet_mass (kg),max_p (Pa),diamond_formation
0.8696335455533573,0.8079615273517187,0.09601923632414067,0.09601923632414067,1.1451442137911543e+24,14697544855.125734,yes
0.9682449831641462,0.35436107215420476,0.3228194639228976,0.3228194639228976,2.65395930747129e+24,20961594053.18948,yes
0.7906844372067374,0.6125308607364732,0.1937345696317634,0.1937345696317634,9.106666794703369e+23,12053432389.05273,yes
1.4346991942344407,0.23186453810215302,0.3840677309489235,0.3840677309489235,1.3489499842765543e+25,56116168658.49454,yes
1.1621699445939175,0.18401500730446446,0.4079924963477678,0.4079924963477678,6.89675344376535e+24,23564852984.775135,yes
1.4663828368831604,0.47020231278481783,0.2648988436075911,0.2648988436075911,9.71499043282426e+24,84738498949.0055,yes
1.204655006310794,0.7324899015335709,0.13375504923321457,0.13375504923321457,3.759712716994261e+24,42093028487.511024,yes
0.5131083223847179,0.8605835554763368,0.0697082222618316,0.0697082222618316,1.6037154646784208e+23,2477426629.6326466,no
1.2903083108789093,0.10722232266902143,0.4463888386654893,0.4463888386654893,1.1790852433720372e+25,19848269574.850613,yes
0.6263783940638756,0.6414098815179967,0.17929505924100164,0.17929505924100164,3.825791406072678e+23,5795790515.460611,no
0.6885807901345689,0.27215885155880304,0.3639205742205985,0.3639205742205985,9.330347387898025e+23,6498576398.794103,no
0.5315238415485066,0.13812569203463776,0.4309371539826811,0.4309371539826811,4.953811489785938e+23,1578296878.3051755,no
1.3398289866397408,0.5636057615380964,0.2181971192309518,0.2181971192309518,6.244334358657213e+24,62800999806.71978,yes
1.2567211679081693,0.4445871729170182,0.2777064135414909,0.2777064135414909,5.739365182766405e+24,50018408949.098335,yes
1.017461005447624,0.2741599413758878,0.36292002931205614,0.36292002931205614,3.6348679370879884e+24,21139142055.568424,yes
1.3759719532124723,0.6756427211565847,0.16217863942170763,0.16217863942170763,6.272636930423687e+24,66683371831.04964,yes
1.46239812225571,0.36643274662939285,0.3167836266853036,0.3167836266853036,1.1284937545329178e+25,78430035863.19467,yes
0.8981874784697371,0.4772059404991743,0.26139702975041285,0.26139702975041285,1.6830937775134155e+24,18169893917.00734,yes
1.4683235462888322,0.42076188593811226,0.28961905703094387,0.28961905703094387,1.050108496203433e+25,83261691955.76747,yes
0.8863778022318659,0.22064101750965986,0.3896794912451701,0.3896794912451701,2.493058582345508e+24,11994715084.120094,yes
1.2372006305140983,0.6649381894649086,0.16753090526754572,0.16753090526754572,4.29663261932323e+24,47131819961.84443,yes
1.0162307922222427,0.6398476522594819,0.18007617387025904,0.18007617387025904,2.1759367308062574e+24,25889330917.38804,yes
1.3340954529201168,0.4650297504710632,0.2674851247644684,0.2674851247644684,6.917335172441094e+24,61389572377.83288,yes
0.7737893771972324,0.410443645420161,0.2947781772899195,0.2947781772899195,1.1007412238043998e+24,11240990252.670525,yes
0.6607383900627041,0.4884980302496469,0.25575098487517656,0.25575098487517656,5.5708128913933114e+23,7152557116.865106,no
0.8854353759349132,0.6745374650135452,0.16273126749322742,0.16273126749322742,1.2955469204420543e+24,16539857028.531885,yes
0.8456447787090947,0.5992289029194389,0.20038554854028057,0.20038554854028057,1.1717741702776932e+24,14879832771.380547,yes
1.4359003596863196,0.2859886679935706,0.3570056660032147,0.3570056660032147,1.2185907781703715e+25,64812325108.83022,yes
1.1848407641302838,0.7868988358167917,0.10655058209160417,0.10655058209160417,3.473547262747778e+24,38988119249.59967,yes
0.5813179499785255,0.5669585706420289,0.21652071467898554,0.21652071467898554,3.144934241883864e+23,4693054268.04648,no
1.276900130627106,0.8009668986283217,0.09951655068583914,0.09951655068583914,4.5323110926473166e+24,49450685876.85726,yes
1.2654450853559713,0.6913079708579288,0.15434601457103558,0.15434601457103558,4.587429940093809e+24,50306329625.73132,yes
1.355620642215475,0.444245833378241,0.2778770833108795,0.2778770833108795,7.549976821335907e+24,64171580669.47481,yes
1.1925015329983761,0.4028465961815164,0.2985767019092418,0.2985767019092418,5.071540095034121e+24,41217761538.60984,yes
1.0604369723997906,0.345736188371605,0.3271319058141975,0.3271319058141975,3.696370871847541e+24,27197937893.389603,yes
0.9036095044881561,0.30772735699334897,0.3461363215033255,0.3461363215033255,2.2657620887732437e+24,15879637399.16944,yes
1.3795954119214437,0.8168575109179593,0.09157124454102034,0.09157124454102034,5.988825507258547e+24,63890105132.07241,yes
0.7025211065612718,0.30287051731958786,0.3485647413402061,0.3485647413402061,9.485753949223599e+23,7390879396.190859,no
1.4706256401676718,0.3228231960628304,0.3385884019685848,0.3385884019685848,1.2441535613898301e+25,75410568295.67819,yes
0.5363599940439919,0.6059665245954936,0.1970167377022532,0.1970167377022532,2.2463519775152395e+23,3576781459.0303392,no
0.6456215343784362,0.6274424316450384,0.18627878417748078,0.18627878417748078,4.332529708400745e+23,6441156401.345388,no
0.6008428562811569,0.12509170645003823,0.4374541467749809,0.4374541467749809,7.727917111520136e+23,2091715470.227327,no
0.7780556016850714,0.5140609209439172,0.2429695395280414,0.2429695395280414,9.606207154047048e+23,11735175589.196217,yes
0.7710479498756444,0.729229367843417,0.13538531607829152,0.13538531607829152,7.664094986092162e+23,10592066685.62099,yes
1.4948287852426587,0.7969832167287708,0.10150839163561459,0.10150839163561459,8.07429737059272e+24,84746318331.15977,yes
